,precision,recall,f1-score,support
0,0.8025974025974026,0.824,0.8131578947368421,375.0
1,0.9315789473684211,0.944,0.937748344370861,375.0
2,0.7582697201017812,0.7946666666666666,0.7760416666666666,375.0
3,0.8116710875331565,0.816,0.8138297872340425,375.0
4,0.8421052631578947,0.8106666666666666,0.8260869565217391,375.0
5,0.9782608695652174,0.96,0.9690444145356663,375.0
6,0.8796791443850267,0.8773333333333333,0.8785046728971962,375.0
7,0.8972972972972973,0.8853333333333333,0.8912751677852349,375.0
8,0.9627659574468085,0.9653333333333334,0.9640479360852197,375.0
9,0.9508196721311475,0.928,0.9392712550607287,375.0
accuracy,0.8805333333333333,0.8805333333333333,0.8805333333333333,0.8805333333333333
macro avg,0.8815045361584153,0.8805333333333334,0.8809008095894196,3750.0
weighted avg,0.8815045361584154,0.8805333333333333,0.8809008095894199,3750.0
