feature_set,model,n_features,acc_mean,acc_std,f1_mean,f1_std
imagenet_hog_add,rbf_svm,635,0.8805333333333334,0.00933714208000619,0.8806849277519546,0.009395913726766524
imagenet_all,rbf_svm,731,0.8792,0.006455316499685445,0.8796936967060182,0.006477884912515415
imagenet_only,rbf_svm,512,0.8765333333333333,0.011426285485668599,0.876777779620253,0.011047642802858556
imagenet_hog_add,logistic_regression,635,0.8538666666666666,0.01521636545886621,0.8543540675579206,0.015372916263324432
imagenet_all,logistic_regression,731,0.8533333333333333,0.01591086281618805,0.853805676906742,0.015931542355385797
imagenet_only,logistic_regression,512,0.8453333333333333,0.019395302982366067,0.8458217838247478,0.018905816074935265
imagenet_hog_add,extra_trees,635,0.8408000000000001,0.00563165655518478,0.8401056723484015,0.005915416159689009
imagenet_all,random_forest,731,0.8408,0.009027365802565763,0.8399245061627869,0.009389055077822067
imagenet_hog_add,random_forest,635,0.8389333333333333,0.008322392818307886,0.8384034288866411,0.008429420040730756
imagenet_all,extra_trees,731,0.8373333333333333,0.0042163702135578525,0.8365741804143505,0.004345867977530409
imagenet_only,extra_trees,512,0.8309333333333333,0.01034171702915484,0.8304176988061011,0.010648148980977865
imagenet_only,random_forest,512,0.8285333333333333,0.011642069308236296,0.8283255881170726,0.011702596904506684
imagenet_hog_add,linear_svm,635,0.8029333333333332,0.019837562574290434,0.8027348485772234,0.019577411824540966
imagenet_only,linear_svm,512,0.7976000000000001,0.014999851851120242,0.7975780373685758,0.014076441684274611
imagenet_all,linear_svm,731,0.7949333333333334,0.017372263973229145,0.7952229663743837,0.016621799106636886
hog_add,logistic_regression,123,0.5741333333333334,0.011078708308181853,0.5727297009509055,0.011041329313015878
hog_add,linear_svm,123,0.5736000000000001,0.016075377997974975,0.5685488887049371,0.016466689644159718
hog_add,rbf_svm,123,0.5568,0.01737635686148792,0.5595127808945262,0.017272193768944413
all,linear_svm,219,0.5456,0.02043787334011706,0.5405996744249547,0.02081591287385714
all,rbf_svm,219,0.5314666666666665,0.026054302267891717,0.5361930076996011,0.025384329177906253
hog_add,random_forest,123,0.5402666666666667,0.004649492206443371,0.5354668995411234,0.0045272681165890215
all,logistic_regression,219,0.5306666666666666,0.019284997047215528,0.5293014487652103,0.01945207897426887
hog_add,extra_trees,123,0.5253333333333333,0.009314266238172251,0.5187894165313539,0.008286684946764948
all,random_forest,219,0.5237333333333333,0.011451152295244757,0.5185020080973172,0.012193518074646829
all,extra_trees,219,0.5007999999999999,0.01612396422168636,0.49470657563937614,0.01651584780088253
color_add,random_forest,119,0.4698666666666667,0.018998947339260667,0.46679180601145986,0.01851042582670341
add_only,logistic_regression,23,0.4669333333333333,0.010679991677067083,0.46598764829938977,0.009009607866588078
color_hog,rbf_svm,196,0.4544,0.029735425935330982,0.45556328378279537,0.030248360094136808
add_only,rbf_svm,23,0.4498666666666667,0.013428990199481785,0.44804252626734503,0.01418104200858622
hog_only,rbf_svm,100,0.44800000000000006,0.013333333333333334,0.44793334533875057,0.015114312827446177
hog_only,extra_trees,100,0.45173333333333343,0.021785214149866783,0.4437057482488198,0.021524565382478166
add_only,linear_svm,23,0.4538666666666667,0.0118838826427505,0.44363375645679354,0.01134164472810885
add_only,random_forest,23,0.44506666666666667,0.01223183460392502,0.4414095989716168,0.012837032312386445
color_add,logistic_regression,119,0.4424,0.012376321478263796,0.4413040500206959,0.012421780080483405
color_add,extra_trees,119,0.44053333333333333,0.018659046063504964,0.43751250509940354,0.01894293930688988
hog_only,random_forest,100,0.4429333333333333,0.008449589076135926,0.43443804314218565,0.009511744542805642
color_add,linear_svm,119,0.4368,0.0067777413478073865,0.429012630085637,0.006474199072429024
color_add,rbf_svm,119,0.4264,0.0037142368739157675,0.42787878545263264,0.0027828799480323916
color_hog,extra_trees,196,0.4333333333333333,0.005529717694220719,0.4250852591331302,0.005785703504124007
color_hog,random_forest,196,0.43146666666666667,0.007283466817998767,0.42238719887747295,0.006524788056304547
add_only,extra_trees,23,0.4245333333333333,0.008948246258966674,0.42190962530813864,0.008844801044551515
hog_only,logistic_regression,100,0.4213333333333333,0.015480453625280001,0.41787661359032013,0.016759361266070853
hog_only,linear_svm,100,0.42186666666666667,0.019017652618320464,0.41373345100592046,0.021753377316320082
color_hog,logistic_regression,196,0.41306666666666664,0.009136982239472976,0.410854357166807,0.01008756841692077
color_hog,linear_svm,196,0.4152,0.013025786391274465,0.41020067328463466,0.014373419366586268
color_only,extra_trees,96,0.32666666666666666,0.014360439485692008,0.32195429393859254,0.01568811132323718
color_only,random_forest,96,0.32266666666666666,0.010293471501663359,0.31581691490722263,0.008843911786443828
color_only,rbf_svm,96,0.26399999999999996,0.01140759980597731,0.26182175898886717,0.01194975616095551
color_only,logistic_regression,96,0.2016,0.014952368820134595,0.1958293746460412,0.013236852772852865
color_only,linear_svm,96,0.2024,0.004572380853195266,0.19320382198128389,0.004793746614912337
