image_id,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80,color_81,color_82,color_83,color_84,color_85,color_86,color_87,color_88,color_89,color_90,color_91,color_92,color_93,color_94,color_95
train_bird_00000,0.000000,0.000000,0.000000,0.000732,0.003906,0.004883,0.006836,0.009521,0.008545,0.015381,0.020020,0.018311,0.027344,0.039551,0.067871,0.107422,0.154541,0.161865,0.107910,0.078613,0.065674,0.066162,0.024902,0.008301,0.001709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000244,0.002197,0.005371,0.006348,0.008545,0.008301,0.013672,0.019043,0.014648,0.018555,0.022949,0.034668,0.052002,0.066162,0.072510,0.076660,0.096436,0.125488,0.127197,0.097412,0.068604,0.042480,0.016357,0.004150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000977,0.005127,0.005615,0.007812,0.008789,0.010742,0.018066,0.021973,0.019775,0.031494,0.055420,0.090576,0.126465,0.124268,0.113525,0.108887,0.076416,0.065430,0.054932,0.031982,0.015869,0.005859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_bird_00001,0.001953,0.017578,0.018799,0.012939,0.016357,0.022217,0.028809,0.028809,0.025146,0.025879,0.025635,0.026123,0.029297,0.042725,0.035156,0.030029,0.026855,0.024902,0.019775,0.028076,0.027344,0.037354,0.039551,0.046631,0.052002,0.052979,0.070312,0.062256,0.070068,0.052734,0.001709,0.000000,0.004395,0.024170,0.017334,0.026855,0.023438,0.029541,0.035645,0.032471,0.029053,0.036377,0.044434,0.031250,0.032959,0.030029,0.032471,0.034424,0.044434,0.054688,0.059814,0.071777,0.083008,0.082520,0.084961,0.053223,0.000732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019287,0.035400,0.043213,0.053467,0.038818,0.033203,0.053711,0.062012,0.060303,0.050781,0.049072,0.062256,0.063232,0.071533,0.085205,0.099365,0.088379,0.028076,0.002197,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_bird_00002,0.000488,0.002686,0.003662,0.000977,0.002197,0.002441,0.002441,0.004639,0.004883,0.005127,0.020264,0.037598,0.044189,0.081787,0.083984,0.188232,0.335938,0.116211,0.020508,0.011719,0.008301,0.003906,0.005127,0.003174,0.002686,0.002686,0.001221,0.001465,0.000732,0.000488,0.000244,0.000000,0.000488,0.002441,0.003662,0.000977,0.002197,0.003174,0.004395,0.004395,0.007812,0.010742,0.026123,0.055176,0.079834,0.156982,0.313477,0.210449,0.050049,0.020996,0.010986,0.009277,0.005859,0.003418,0.004395,0.003418,0.002686,0.002930,0.001221,0.000977,0.000732,0.000488,0.000244,0.000000,0.000488,0.001221,0.003662,0.002930,0.005127,0.008057,0.023682,0.052490,0.085449,0.142090,0.333252,0.201172,0.062012,0.017334,0.008545,0.007812,0.004883,0.004883,0.004883,0.005371,0.005127,0.000977,0.004395,0.004150,0.002441,0.002197,0.002197,0.000977,0.001221,0.000732,0.000244,0.000000
train_bird_00003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002686,0.017822,0.040527,0.089111,0.123779,0.148438,0.127930,0.044434,0.031982,0.034180,0.028809,0.026855,0.027832,0.026123,0.026123,0.022705,0.019775,0.029297,0.028564,0.028564,0.030518,0.026123,0.010742,0.004639,0.002441,0.000000,0.000000,0.000000,0.000244,0.001465,0.001709,0.004150,0.020264,0.049316,0.136230,0.175049,0.154297,0.056152,0.040527,0.023438,0.028564,0.020264,0.027344,0.028564,0.026855,0.025635,0.025146,0.026611,0.032227,0.024170,0.024902,0.023438,0.012939,0.006348,0.003418,0.000732,0.000000,0.000000,0.000000,0.002686,0.008789,0.011963,0.046631,0.128906,0.171143,0.129150,0.079834,0.037842,0.024902,0.020996,0.025146,0.017822,0.019775,0.025635,0.024902,0.025146,0.024658,0.022949,0.028076,0.026855,0.022949,0.023926,0.022949,0.010498,0.007324,0.003906,0.003906,0.000732,0.000000,0.000000
train_bird_00004,0.000000,0.000000,0.000000,0.000000,0.001709,0.002686,0.003662,0.004395,0.004395,0.002930,0.007324,0.054443,0.124268,0.230225,0.135254,0.104736,0.028076,0.025146,0.020264,0.020020,0.011963,0.011475,0.009277,0.006836,0.008301,0.007324,0.009277,0.019287,0.040527,0.074951,0.030273,0.000977,0.000000,0.000000,0.000000,0.000000,0.001221,0.002930,0.005371,0.003906,0.004150,0.004150,0.006104,0.007568,0.024414,0.121338,0.140381,0.233887,0.120850,0.072754,0.018311,0.012695,0.012695,0.006348,0.006348,0.010254,0.009033,0.010498,0.017334,0.033936,0.059570,0.044434,0.009521,0.000000,0.000000,0.000000,0.000000,0.000244,0.003662,0.006104,0.006104,0.052002,0.166504,0.241943,0.123047,0.031738,0.035156,0.028564,0.029297,0.024414,0.015869,0.012207,0.011719,0.007324,0.007812,0.006836,0.006348,0.009521,0.012207,0.013672,0.028564,0.053223,0.042969,0.021484,0.001465,0.000000
train_bird_00005,0.000000,0.000000,0.000000,0.000000,0.001465,0.002686,0.006592,0.008057,0.017090,0.022949,0.033691,0.035889,0.038574,0.068359,0.113770,0.139160,0.173828,0.161133,0.103271,0.057373,0.009277,0.003662,0.002197,0.000488,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001953,0.005859,0.006836,0.013428,0.015625,0.022705,0.036865,0.044189,0.083740,0.137695,0.216309,0.228271,0.131592,0.038086,0.008057,0.004150,0.003174,0.000977,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001465,0.004395,0.009033,0.012939,0.020996,0.027100,0.035400,0.063232,0.107666,0.167236,0.178955,0.166992,0.116211,0.059082,0.022705,0.006104,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
train_bird_00006,0.000000,0.005371,0.019531,0.034180,0.044678,0.068115,0.073730,0.082275,0.120605,0.078857,0.065430,0.067139,0.062012,0.055664,0.058350,0.048828,0.034912,0.019287,0.017822,0.010498,0.010986,0.007568,0.003906,0.002197,0.002441,0.000732,0.000732,0.001953,0.000488,0.000732,0.000977,0.000000,0.000000,0.000000,0.003418,0.013916,0.012695,0.023682,0.032715,0.042969,0.064941,0.075928,0.114502,0.079102,0.079590,0.062256,0.047119,0.051270,0.048096,0.048340,0.063965,0.047363,0.039307,0.029297,0.009521,0.002441,0.001465,0.000732,0.001709,0.001709,0.000977,0.000488,0.000488,0.000000,0.000000,0.000000,0.004395,0.010498,0.020020,0.022949,0.038818,0.068848,0.067871,0.074219,0.086670,0.089600,0.113525,0.075684,0.058350,0.069580,0.052490,0.035156,0.013916,0.008545,0.014893,0.008789,0.010254,0.010010,0.015381,0.020752,0.004639,0.002197,0.000977,0.000488,0.000488,0.000000
train_bird_00007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000244,0.000000,0.000244,0.001221,0.006836,0.058838,0.632812,0.022217,0.014648,0.011719,0.011475,0.011963,0.010986,0.017822,0.012207,0.014404,0.012695,0.012939,0.011963,0.016846,0.018555,0.017334,0.018555,0.014648,0.018066,0.024902,0.005859,0.000000,0.000000,0.000000,0.000244,0.000488,0.001953,0.002197,0.004150,0.004639,0.006592,0.009521,0.015381,0.018066,0.017578,0.023682,0.024658,0.024902,0.031250,0.039795,0.030029,0.022217,0.051025,0.650146,0.007080,0.004150,0.002197,0.004150,0.002197,0.001709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000244,0.000488,0.001221,0.002197,0.003418,0.002686,0.005615,0.008545,0.014160,0.017334,0.017578,0.024170,0.027344,0.022217,0.028564,0.027344,0.016846,0.012939,0.013672,0.009033,0.008545,0.012939,0.013184,0.013184,0.011475,0.017822,0.145020,0.522217
train_bird_00008,0.000000,0.001221,0.020996,0.049316,0.050781,0.047852,0.046143,0.042969,0.039551,0.039062,0.040283,0.033447,0.041260,0.041748,0.068115,0.065918,0.057617,0.049805,0.045410,0.036133,0.024170,0.021973,0.023438,0.019531,0.018799,0.020508,0.016113,0.010742,0.009033,0.007324,0.005615,0.005127,0.000000,0.000977,0.025146,0.048340,0.044189,0.036621,0.032227,0.037354,0.038574,0.038574,0.040039,0.032715,0.031982,0.031494,0.042480,0.038574,0.045654,0.041260,0.044678,0.050049,0.062988,0.056885,0.045898,0.034180,0.016113,0.014404,0.016357,0.013672,0.012939,0.009277,0.009033,0.007324,0.000000,0.000244,0.007080,0.047119,0.061768,0.057617,0.054932,0.060791,0.056396,0.057129,0.065186,0.054688,0.052490,0.048340,0.045410,0.043701,0.040771,0.036133,0.032715,0.027100,0.022461,0.018311,0.015869,0.015381,0.012451,0.010254,0.011475,0.011963,0.009521,0.008545,0.008301,0.005859
train_bird_00009,0.000000,0.000000,0.000000,0.000000,0.000000,0.003174,0.007080,0.008545,0.049316,0.071289,0.156494,0.236816,0.170410,0.090576,0.053467,0.041748,0.040039,0.030029,0.021729,0.008789,0.005127,0.004639,0.000488,0.000244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000244,0.003662,0.006104,0.005127,0.005859,0.022217,0.052246,0.052002,0.082764,0.158691,0.191162,0.184082,0.110107,0.053955,0.034668,0.017334,0.011475,0.005371,0.002930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000732,0.004883,0.005371,0.007324,0.056152,0.114746,0.268311,0.233398,0.126465,0.062256,0.042480,0.025879,0.019287,0.012451,0.009521,0.005371,0.002686,0.001465,0.001221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
