image_id,true_class,predicted_class,image_path
train_bird_00028,class_0,class_2,images/train/bird/bird_00028.png
train_bird_00036,class_0,class_2,images/train/bird/bird_00036.png
train_bird_00046,class_0,class_4,images/train/bird/bird_00046.png
train_bird_00051,class_0,class_3,images/train/bird/bird_00051.png
train_bird_00060,class_0,class_6,images/train/bird/bird_00060.png
train_bird_00067,class_0,class_2,images/train/bird/bird_00067.png
train_bird_00090,class_0,class_3,images/train/bird/bird_00090.png
train_bird_00094,class_0,class_3,images/train/bird/bird_00094.png
train_bird_00106,class_0,class_6,images/train/bird/bird_00106.png
train_bird_00112,class_0,class_3,images/train/bird/bird_00112.png
train_bird_00113,class_0,class_7,images/train/bird/bird_00113.png
train_bird_00134,class_0,class_2,images/train/bird/bird_00134.png
train_bird_00142,class_0,class_6,images/train/bird/bird_00142.png
train_bird_00161,class_0,class_6,images/train/bird/bird_00161.png
train_bird_00183,class_0,class_6,images/train/bird/bird_00183.png
train_bird_00190,class_0,class_7,images/train/bird/bird_00190.png
train_bird_00194,class_0,class_3,images/train/bird/bird_00194.png
train_bird_00198,class_0,class_6,images/train/bird/bird_00198.png
train_bird_00219,class_0,class_3,images/train/bird/bird_00219.png
train_bird_00221,class_0,class_7,images/train/bird/bird_00221.png
train_bird_00223,class_0,class_6,images/train/bird/bird_00223.png
train_bird_00230,class_0,class_6,images/train/bird/bird_00230.png
train_bird_00236,class_0,class_7,images/train/bird/bird_00236.png
train_bird_00244,class_0,class_6,images/train/bird/bird_00244.png
train_bird_00251,class_0,class_6,images/train/bird/bird_00251.png
train_bird_00259,class_0,class_3,images/train/bird/bird_00259.png
train_bird_00260,class_0,class_4,images/train/bird/bird_00260.png
train_bird_00267,class_0,class_6,images/train/bird/bird_00267.png
train_bird_00290,class_0,class_3,images/train/bird/bird_00290.png
train_bird_00295,class_0,class_3,images/train/bird/bird_00295.png
train_bird_00300,class_0,class_3,images/train/bird/bird_00300.png
train_bird_00315,class_0,class_7,images/train/bird/bird_00315.png
train_bird_00330,class_0,class_8,images/train/bird/bird_00330.png
train_bird_00333,class_0,class_3,images/train/bird/bird_00333.png
train_bird_00343,class_0,class_3,images/train/bird/bird_00343.png
train_bird_00356,class_0,class_7,images/train/bird/bird_00356.png
train_bird_00364,class_0,class_3,images/train/bird/bird_00364.png
train_bird_00371,class_0,class_4,images/train/bird/bird_00371.png
train_bird_00372,class_0,class_3,images/train/bird/bird_00372.png
train_butterfly_00115,class_1,class_4,images/train/butterfly/butterfly_00115.png
train_butterfly_00121,class_1,class_0,images/train/butterfly/butterfly_00121.png
train_butterfly_00138,class_1,class_9,images/train/butterfly/butterfly_00138.png
train_butterfly_00160,class_1,class_6,images/train/butterfly/butterfly_00160.png
train_butterfly_00167,class_1,class_9,images/train/butterfly/butterfly_00167.png
train_butterfly_00183,class_1,class_9,images/train/butterfly/butterfly_00183.png
train_butterfly_00226,class_1,class_9,images/train/butterfly/butterfly_00226.png
train_butterfly_00274,class_1,class_2,images/train/butterfly/butterfly_00274.png
train_butterfly_00297,class_1,class_9,images/train/butterfly/butterfly_00297.png
train_butterfly_00310,class_1,class_9,images/train/butterfly/butterfly_00310.png
train_butterfly_00321,class_1,class_9,images/train/butterfly/butterfly_00321.png
train_butterfly_00325,class_1,class_9,images/train/butterfly/butterfly_00325.png
train_butterfly_00344,class_1,class_2,images/train/butterfly/butterfly_00344.png
train_butterfly_00353,class_1,class_9,images/train/butterfly/butterfly_00353.png
train_butterfly_00359,class_1,class_9,images/train/butterfly/butterfly_00359.png
train_cat_00002,class_2,class_1,images/train/cat/cat_00002.png
train_cat_00009,class_2,class_0,images/train/cat/cat_00009.png
train_cat_00013,class_2,class_4,images/train/cat/cat_00013.png
train_cat_00014,class_2,class_6,images/train/cat/cat_00014.png
train_cat_00015,class_2,class_3,images/train/cat/cat_00015.png
train_cat_00043,class_2,class_6,images/train/cat/cat_00043.png
train_cat_00051,class_2,class_4,images/train/cat/cat_00051.png
train_cat_00053,class_2,class_4,images/train/cat/cat_00053.png
train_cat_00061,class_2,class_4,images/train/cat/cat_00061.png
train_cat_00063,class_2,class_6,images/train/cat/cat_00063.png
train_cat_00065,class_2,class_4,images/train/cat/cat_00065.png
train_cat_00069,class_2,class_4,images/train/cat/cat_00069.png
train_cat_00074,class_2,class_6,images/train/cat/cat_00074.png
train_cat_00081,class_2,class_4,images/train/cat/cat_00081.png
train_cat_00094,class_2,class_3,images/train/cat/cat_00094.png
train_cat_00096,class_2,class_0,images/train/cat/cat_00096.png
train_cat_00102,class_2,class_4,images/train/cat/cat_00102.png
train_cat_00103,class_2,class_6,images/train/cat/cat_00103.png
train_cat_00109,class_2,class_6,images/train/cat/cat_00109.png
train_cat_00110,class_2,class_4,images/train/cat/cat_00110.png
train_cat_00121,class_2,class_4,images/train/cat/cat_00121.png
train_cat_00124,class_2,class_6,images/train/cat/cat_00124.png
train_cat_00143,class_2,class_4,images/train/cat/cat_00143.png
train_cat_00147,class_2,class_3,images/train/cat/cat_00147.png
train_cat_00153,class_2,class_7,images/train/cat/cat_00153.png
train_cat_00155,class_2,class_6,images/train/cat/cat_00155.png
train_cat_00171,class_2,class_4,images/train/cat/cat_00171.png
train_cat_00175,class_2,class_0,images/train/cat/cat_00175.png
train_cat_00182,class_2,class_4,images/train/cat/cat_00182.png
train_cat_00183,class_2,class_4,images/train/cat/cat_00183.png
train_cat_00198,class_2,class_4,images/train/cat/cat_00198.png
train_cat_00203,class_2,class_4,images/train/cat/cat_00203.png
train_cat_00207,class_2,class_7,images/train/cat/cat_00207.png
train_cat_00214,class_2,class_4,images/train/cat/cat_00214.png
train_cat_00241,class_2,class_3,images/train/cat/cat_00241.png
train_cat_00245,class_2,class_4,images/train/cat/cat_00245.png
train_cat_00248,class_2,class_4,images/train/cat/cat_00248.png
train_cat_00255,class_2,class_4,images/train/cat/cat_00255.png
train_cat_00262,class_2,class_7,images/train/cat/cat_00262.png
train_cat_00278,class_2,class_4,images/train/cat/cat_00278.png
train_cat_00280,class_2,class_4,images/train/cat/cat_00280.png
train_cat_00286,class_2,class_4,images/train/cat/cat_00286.png
train_cat_00292,class_2,class_4,images/train/cat/cat_00292.png
train_cat_00297,class_2,class_4,images/train/cat/cat_00297.png
train_cat_00304,class_2,class_3,images/train/cat/cat_00304.png
train_cat_00322,class_2,class_0,images/train/cat/cat_00322.png
train_cat_00323,class_2,class_4,images/train/cat/cat_00323.png
train_cat_00325,class_2,class_0,images/train/cat/cat_00325.png
train_cat_00339,class_2,class_4,images/train/cat/cat_00339.png
train_cat_00348,class_2,class_4,images/train/cat/cat_00348.png
train_cat_00361,class_2,class_4,images/train/cat/cat_00361.png
train_cat_00362,class_2,class_3,images/train/cat/cat_00362.png
train_cat_00363,class_2,class_0,images/train/cat/cat_00363.png
train_cat_00369,class_2,class_0,images/train/cat/cat_00369.png
train_cat_00374,class_2,class_4,images/train/cat/cat_00374.png
train_deer_00002,class_3,class_2,images/train/deer/deer_00002.png
train_deer_00005,class_3,class_7,images/train/deer/deer_00005.png
train_deer_00006,class_3,class_4,images/train/deer/deer_00006.png
train_deer_00010,class_3,class_2,images/train/deer/deer_00010.png
train_deer_00011,class_3,class_0,images/train/deer/deer_00011.png
train_deer_00028,class_3,class_0,images/train/deer/deer_00028.png
train_deer_00038,class_3,class_9,images/train/deer/deer_00038.png
train_deer_00053,class_3,class_4,images/train/deer/deer_00053.png
train_deer_00060,class_3,class_7,images/train/deer/deer_00060.png
train_deer_00063,class_3,class_6,images/train/deer/deer_00063.png
train_deer_00099,class_3,class_6,images/train/deer/deer_00099.png
train_deer_00102,class_3,class_9,images/train/deer/deer_00102.png
train_deer_00126,class_3,class_0,images/train/deer/deer_00126.png
